with L1, now facing [-1, 0], moved to [-1, 0] 
with R3, now facing [0, 1], moved to [-1, 3] 
with R1, now facing [1, 0], moved to [0, 3] 
with L5, now facing [0, 1], moved to [0, 8] 
with L2, now facing [-1, 0], moved to [-2, 8] 
with L5, now facing [0, -1], moved to [-2, 3] 
with R4, now facing [-1, 0], moved to [-6, 3] 
with L2, now facing [0, -1], moved to [-6, 1] 
with R2, now facing [-1, 0], moved to [-8, 1] 
with R2, now facing [0, 1], moved to [-8, 3] 
with L2, now facing [-1, 0], moved to [-10, 3] 
with R1, now facing [0, 1], moved to [-10, 4] 
with L5, now facing [-1, 0], moved to [-15, 4] 
with R3, now facing [0, 1], moved to [-15, 7] 
with L4, now facing [-1, 0], moved to [-19, 7] 
with L1, now facing [0, -1], moved to [-19, 6] 
with L2, now facing [1, 0], moved to [-17, 6] 
with R3, now facing [0, -1], moved to [-17, 3] 
with R5, now facing [-1, 0], moved to [-22, 3] 
with L2, now facing [0, -1], moved to [-22, 1] 
with R5, now facing [-1, 0], moved to [-27, 1] 
with L1, now facing [0, -1], moved to [-27, 0] 
with R2, now facing [-1, 0], moved to [-29, 0] 
with L5, now facing [0, -1], moved to [-29, -5] 
with R4, now facing [-1, 0], moved to [-33, -5] 
with R2, now facing [0, 1], moved to [-33, -3] 
with R2, now facing [1, 0], moved to [-31, -3] 
with L1, now facing [0, 1], moved to [-31, -2] 
with L1, now facing [-1, 0], moved to [-32, -2] 
with R1, now facing [0, 1], moved to [-32, -1] 
with L3, now facing [-1, 0], moved to [-35, -1] 
with L1, now facing [0, -1], moved to [-35, -2] 
with R1, now facing [-1, 0], moved to [-36, -2] 
with L3, now facing [0, -1], moved to [-36, -5] 
with R5, now facing [-1, 0], moved to [-41, -5] 
with R3, now facing [0, 1], moved to [-41, -2] 
with R3, now facing [1, 0], moved to [-38, -2] 
with L4, now facing [0, 1], moved to [-38, 2] 
with R4, now facing [1, 0], moved to [-34, 2] 
with L2, now facing [0, 1], moved to [-34, 4] 
with L4, now facing [-1, 0], moved to [-38, 4] 
with R1, now facing [0, 1], moved to [-38, 5] 
with R1, now facing [1, 0], moved to [-37, 5] 
with L193, now facing [0, 1], moved to [-37, 6] 
with R2, now facing [1, 0], moved to [-35, 6] 
with L1, now facing [0, 1], moved to [-35, 7] 
with R54, now facing [1, 0], moved to [-30, 7] 
with R1, now facing [0, -1], moved to [-30, 6] 
with L1, now facing [1, 0], moved to [-29, 6] 
with R71, now facing [0, -1], moved to [-29, -1] 
with L4, now facing [1, 0], moved to [-25, -1] 
with R3, now facing [0, -1], moved to [-25, -4] 
with R191, now facing [-1, 0], moved to [-26, -4] 
with R3, now facing [0, 1], moved to [-26, -1] 
with R2, now facing [1, 0], moved to [-24, -1] 
with L4, now facing [0, 1], moved to [-24, 3] 
with R3, now facing [1, 0], moved to [-21, 3] 
with R2, now facing [0, -1], moved to [-21, 1] 
with L2, now facing [1, 0], moved to [-19, 1] 
with L4, now facing [0, 1], moved to [-19, 5] 
with L5, now facing [-1, 0], moved to [-24, 5] 
with R4, now facing [0, 1], moved to [-24, 9] 
with R1, now facing [1, 0], moved to [-23, 9] 
with L2, now facing [0, 1], moved to [-23, 11] 
with L2, now facing [-1, 0], moved to [-25, 11] 
with L3, now facing [0, -1], moved to [-25, 8] 
with L2, now facing [1, 0], moved to [-23, 8] 
with L1, now facing [0, 1], moved to [-23, 9] 
Already been at [-23, 9]
with R4, now facing [1, 0], moved to [-19, 9] 
with R1, now facing [0, -1], moved to [-19, 8] 
with R5, now facing [-1, 0], moved to [-24, 8] 
with R3, now facing [0, 1], moved to [-24, 11] 
with L5, now facing [-1, 0], moved to [-29, 11] 
with R3, now facing [0, 1], moved to [-29, 14] 
with R4, now facing [1, 0], moved to [-25, 14] 
with L2, now facing [0, 1], moved to [-25, 16] 
with R3, now facing [1, 0], moved to [-22, 16] 
with L1, now facing [0, 1], moved to [-22, 17] 
with L3, now facing [-1, 0], moved to [-25, 17] 
with L3, now facing [0, -1], moved to [-25, 14] 
Already been at [-25, 14]
with L5, now facing [1, 0], moved to [-20, 14] 
with L1, now facing [0, 1], moved to [-20, 15] 
with L3, now facing [-1, 0], moved to [-23, 15] 
with L3, now facing [0, -1], moved to [-23, 12] 
with L1, now facing [1, 0], moved to [-22, 12] 
with R3, now facing [0, -1], moved to [-22, 9] 
with L3, now facing [1, 0], moved to [-19, 9] 
Already been at [-19, 9]
with L2, now facing [0, 1], moved to [-19, 11] 
with R1, now facing [1, 0], moved to [-18, 11] 
with L3, now facing [0, 1], moved to [-18, 14] 
with L1, now facing [-1, 0], moved to [-19, 14] 
with R5, now facing [0, 1], moved to [-19, 19] 
with R4, now facing [1, 0], moved to [-15, 19] 
with R3, now facing [0, -1], moved to [-15, 16] 
with R2, now facing [-1, 0], moved to [-17, 16] 
with R3, now facing [0, 1], moved to [-17, 19] 
with L1, now facing [-1, 0], moved to [-18, 19] 
with L2, now facing [0, -1], moved to [-18, 17] 
with R4, now facing [-1, 0], moved to [-22, 17] 
Already been at [-22, 17]
with L3, now facing [0, -1], moved to [-22, 14] 
with R1, now facing [-1, 0], moved to [-23, 14] 
with L1, now facing [0, -1], moved to [-23, 13] 
with L1, now facing [1, 0], moved to [-22, 13] 
with R5, now facing [0, -1], moved to [-22, 8] 
with R2, now facing [-1, 0], moved to [-24, 8] 
Already been at [-24, 8]
with R4, now facing [0, 1], moved to [-24, 12] 
with R5, now facing [1, 0], moved to [-19, 12] 
with L1, now facing [0, 1], moved to [-19, 13] 
with L1, now facing [-1, 0], moved to [-20, 13] 
with R1, now facing [0, 1], moved to [-20, 14] 
Already been at [-20, 14]
with L2, now facing [-1, 0], moved to [-22, 14] 
Already been at [-22, 14]
with L4, now facing [0, -1], moved to [-22, 10] 
with R3, now facing [-1, 0], moved to [-25, 10] 
with L1, now facing [0, -1], moved to [-25, 9] 
with L3, now facing [1, 0], moved to [-22, 9] 
Already been at [-22, 9]
with R5, now facing [0, -1], moved to [-22, 4] 
with R4, now facing [-1, 0], moved to [-26, 4] 
with R3, now facing [0, 1], moved to [-26, 7] 
with R3, now facing [1, 0], moved to [-23, 7] 
with L2, now facing [0, 1], moved to [-23, 9] 
Already been at [-23, 9]
with R2, now facing [1, 0], moved to [-21, 9] 
with L1, now facing [0, 1], moved to [-21, 10] 
with R4, now facing [1, 0], moved to [-17, 10] 
with R2, now facing [0, -1], moved to [-17, 8] 
with L3, now facing [1, 0], moved to [-14, 8] 
with L4, now facing [0, 1], moved to [-14, 12] 
with L2, now facing [-1, 0], moved to [-16, 12] 
with R2, now facing [0, 1], moved to [-16, 14] 
with R2, now facing [1, 0], moved to [-14, 14] 
with L4, now facing [0, 1], moved to [-14, 18] 
with R3, now facing [1, 0], moved to [-11, 18] 
with R5, now facing [0, -1], moved to [-11, 13] 
with L2, now facing [1, 0], moved to [-9, 13] 
with R2, now facing [0, -1], moved to [-9, 11] 
with R4, now facing [-1, 0], moved to [-13, 11] 
with R5, now facing [0, 1], moved to [-13, 16] 
with L2, now facing [-1, 0], moved to [-15, 16] 
Already been at [-15, 16]
with L3, now facing [0, -1], moved to [-15, 13] 
with L2, now facing [1, 0], moved to [-13, 13] 
with R5, now facing [0, -1], moved to [-13, 8] 
with L4, now facing [1, 0], moved to [-9, 8] 
with L2, now facing [0, 1], moved to [-9, 10] 
with R3, now facing [1, 0], moved to [-6, 10] 
with L5, now facing [0, 1], moved to [-6, 15] 
with R2, now facing [1, 0], moved to [-4, 15] 
with L1, now facing [0, 1], moved to [-4, 16] 
with R1, now facing [1, 0], moved to [-3, 16] 
with R3, now facing [0, -1], moved to [-3, 13] 
with R3, now facing [-1, 0], moved to [-6, 13] 
with L5, now facing [0, -1], moved to [-6, 8] 
with L2, now facing [1, 0], moved to [-4, 8] 
with L2, now facing [0, 1], moved to [-4, 10] 
with R5, now facing [1, 0], moved to [1, 10] 
[1, 10]
